kormány
amerikai
nép
szovjet
magyar
szocialista
szovjetunió
munka
párt
nemzetközi
politikai
erõ
francia
politika
terv
kommunista
világ
élet
béke
gazdasági
eredmény
német
katonai
nyugati
tanács
háború
