kormány
amerikai
nép
szovjet
magyar
szocialista
szovjetunió
munka
párt
nemzetközi
politikai
erő
francia
politika
terv
kommunista
világ
élet
béke
gazdasági
eredmény
német
katonai
nyugati
tanács
háború
hruscsov
javaslat
dolgozó
vietnami
angol
érdek
harc
népfront
ensz
fejlődés
társadalmi
hatalom
nemzet
európai
nemzeti
arab
rendszer
demokratikus
moszkva
nyugatnémet
gaulle
washington
békés
szocializmus
moszkvai
termelés
york
jog
társadalom
párizs
mozgalom
kínai
munkás
algériai
franciaország
vállalat
barátság
szerep
nukleáris
fegyver
viszony
kádár
közvélemény
ipar
szkp
forradalmi
állami
segítség
föld
nato
anglia
baráti
leszerelés
dolgozik
fejlesztés
kulturális
ndk
szabad
biztonság
építés
elv
párizsi
kölcsönös
afrikai
lengyel
imperialista
népi
veszély
csehszlovák
gazdaság
iskola
kennedy
nyugat
hadsereg
agresszió
mszmp
válság
vietnam
washingtoni
vdk
genfi
mezőgazdaság
magyarország
európa
mezőgazdasági
budapest
délvietnami
piac
izraeli
forradalom
tudomány
történelmi
szövetség
győzelem
törvény
fegyveres
feszültség
törekvés
parlament
gondolat
rend
brit
kongói
emberiség
kubai
kuba
szakember
izrael
román
imperializmus
indiai
kereskedelmi
gromiko
korszerű
népgazdaság
london
barát
szövetkezet
szándék
magatartás
felelősség
paraszt
függetlenség
szabadság
háborús
leszerelési
halad
bolgár
japán
országgyűlés
felhívás
beruházás
németország
londoni
olasz
világháború
haladás
testvéri
fejlődik
osztrák
eak
kína
haladó
algéria
rakéta
thant
kongó
termelőszövetkezet
küzdelem
gyermek
hanoi
épít
emberi
varsói
növekedés
eszmecsere
ifjúság
harcol
gyarmati
jugoszláv
demokrácia
nszk
közösség
india
tudós
munkásosztály
kommunizmus
parlamenti
család
kereskedelem
atomfegyver
konfliktus
kezdeményezés
reform
ázsiai
történelem
berlin
kairó
nagyhatalom
polgári
tüntetés
parasztság
amerika
alkotó
demokrata
csehszlovákia
görög
áldozat
belga
egyiptomi
érték
nyugatberlini
kudarc
kapitalista
beavatkozás
király
eszme
bombázás
vidék
otthon
felszabadulás
szövetkezeti
munkásparaszt
fenyeget
jövedelem
növekvő
aggodalom
afrika
tito
nixon
adenauer
sztrájk
provokáció
erkölcsi
